veldnaam;;;;;categorie;element;GBA Persoon veldnaam;;;;;aanpassing door proxy;afleiding of feature;Buitengemeentelijke autorisatie;Beperkt zoekresultaat;
type;;;;;;;type;;;;;Persoon | PersoonBeperkt;;Ja;Ja;
aNummer;;;;;1;01.10;aNummer;;;;;;;Ja;;
burgerservicenummer;;;;;1;01.20;burgerservicenummer;;;;;;;Ja;Ja;
naam;;;;;1;;naam;;;;;;;Ja;;
;voorletters;;;;;;;;;;;afleiden uit naam.voornamen;voorletters;Ja;Ja;
;voornamen;;;;1;02.10;;voornamen;;;;;;Ja;Ja;
;adellijkeTitelPredicaat;;;;1;02.20;;adellijkeTitelPredicaat;;;;;;Ja;Ja;
;voorvoegsel;;;;1;02.30;;voorvoegsel;;;;;;Ja;Ja;
;geslachtsnaam;;;;1;02.40;;geslachtsnaam;;;;standaardwaarde . uitfilteren;onbekend_waardes;Ja;Ja;
;aanduidingNaamgebruik;;;;1;61.10;;aanduidingNaamgebruik;;;;;;Ja;;
;inOnderzoek;;;;;;;;;;;;;Ja;;
;;*;;;;;;;;;;inOnderzoek.aanduidingGegevensInOnderzoek vertalen naar boolean properties;in_onderzoek;Ja;;
;;datumIngangOnderzoek;;;;;;;;;;vertalen naar datum, jaar, jaar+maand of onbekend, afleiden langFormaat;in_onderzoek, datum;Ja;;
;volledigeNaam;;;;;;;;;;;afleiden uit naam;volledige-naam;Ja;Ja;
adressering;;;;;;;;;;;;;;~;;
;aanschrijfwijze;;;;;;;;;;;;;Ja;;
;;naam;;;;;;;;;;afleiden uit naam, geslacht, partners.naam;aanschrijfwijze;Ja;;
;;aanspreekvorm;;;;;;;;;;afleiden uit naam, geslacht, partners.naam;aanschrijfwijze;Ja;;
;aanhef;;;;;;;;;;;afleiden uit naam, geslacht, partners.naam;aanhef;Ja;;
;gebruikInLopendeTekst;;;;;;;;;;;afleiden uit naam, geslacht, partners.naam;gebruik_in_lopende_tekst;Ja;;
;adresregel1;;;;;;;;;;;afleiden uit verblijfplaats;adres;Ja;Ja;
