fields pad,volledig pad
aNummer,aNummer
adressering,adressering
adresregel1,adressering.adresregel1
adresregel2,adressering.adresregel2
adresregel3,adressering.adresregel3
adressering.land,adressering.land
adressering.land.code,adressering.land.code
adressering.land.omschrijving,adressering.land.omschrijving
aanhef,adressering.aanhef
aanschrijfwijze,adressering.aanschrijfwijze
aanspreekvorm,adressering.aanschrijfwijze.aanspreekvorm
aanschrijfwijze.naam,adressering.aanschrijfwijze.naam
gebruikInLopendeTekst,adressering.gebruikInLopendeTekst
burgerservicenummer,burgerservicenummer
datumEersteInschrijvingGBA,datumEersteInschrijvingGBA
datumInschrijvingInGemeente,datumInschrijvingInGemeente
europeesKiesrecht,europeesKiesrecht
europeesKiesrecht.aanduiding,europeesKiesrecht.aanduiding
europeesKiesrecht.aanduiding.code,europeesKiesrecht.aanduiding.code
europeesKiesrecht.aanduiding.omschrijving,europeesKiesrecht.aanduiding.omschrijving
einddatumUitsluiting,europeesKiesrecht.einddatumUitsluiting
geboorte,geboorte
geboorte.datum,geboorte.datum
geboorte.land,geboorte.land
geboorte.land.code,geboorte.land.code
geboorte.land.omschrijving,geboorte.land.omschrijving
geboorte.plaats,geboorte.plaats
geboorte.plaats.code,geboorte.plaats.code
geboorte.plaats.omschrijving,geboorte.plaats.omschrijving
gemeenteVanInschrijving,gemeenteVanInschrijving
gemeenteVanInschrijving.code,gemeenteVanInschrijving.code
gemeenteVanInschrijving.omschrijving,gemeenteVanInschrijving.omschrijving
geslacht,geslacht
geslacht.code,geslacht.code
geslacht.omschrijving,geslacht.omschrijving
immigratie,immigratie
datumVestigingInNederland,immigratie.datumVestigingInNederland
indicatieVestigingVanuitBuitenland,immigratie.indicatieVestigingVanuitBuitenland
landVanwaarIngeschreven,immigratie.landVanwaarIngeschreven
landVanwaarIngeschreven.code,immigratie.landVanwaarIngeschreven.code
landVanwaarIngeschreven.omschrijving,immigratie.landVanwaarIngeschreven.omschrijving
vanuitVerblijfplaatsOnbekend,immigratie.vanuitVerblijfplaatsOnbekend
indicatieCurateleRegister,indicatieCurateleRegister
