fields pad,volledig pad
adressering,adressering
adresregel1,adressering.adresregel1
adresregel2,adressering.adresregel2
adresregel3,adressering.adresregel3
adressering.land,adressering.land
adressering.land.code,adressering.land.code
adressering.land.omschrijving,adressering.land.omschrijving
burgerservicenummer,burgerservicenummer
geboorte,geboorte
geboorte.datum,geboorte.datum
geslacht,geslacht
geslacht.code,geslacht.code
geslacht.omschrijving,geslacht.omschrijving
leeftijd,leeftijd
naam,naam
naam.adellijkeTitelPredicaat,naam.adellijkeTitelPredicaat
naam.adellijkeTitelPredicaat.code,naam.adellijkeTitelPredicaat.code
naam.adellijkeTitelPredicaat.omschrijving,naam.adellijkeTitelPredicaat.omschrijving
naam.adellijkeTitelPredicaat.soort,naam.adellijkeTitelPredicaat.soort
naam.geslachtsnaam,naam.geslachtsnaam
volledigeNaam,naam.volledigeNaam
naam.voorletters,naam.voorletters
naam.voornamen,naam.voornamen
naam.voorvoegsel,naam.voorvoegsel
opschortingBijhouding,opschortingBijhouding
overlijden,overlijden
indicatieOverleden,overlijden.indicatieOverleden
verblijfplaats,verblijfplaats
functieAdres,verblijfplaats.functieAdres
functieAdres.code,verblijfplaats.functieAdres.code
functieAdres.omschrijving,verblijfplaats.functieAdres.omschrijving
