fields pad,volledig pad
aNummer,aNummer
adressering,adressering
adressering.adresregel1,adressering.adresregel1
adresregel1,adressering.adresregel1
adressering.adresregel2,adressering.adresregel2
adresregel2,adressering.adresregel2
adressering.adresregel3,adressering.adresregel3
adresregel3,adressering.adresregel3
adressering.land,adressering.land
adressering.land.code,adressering.land.code
adressering.land.omschrijving,adressering.land.omschrijving
adressering.aanhef,adressering.aanhef
aanhef,adressering.aanhef
adressering.aanschrijfwijze,adressering.aanschrijfwijze
aanschrijfwijze,adressering.aanschrijfwijze
adressering.aanschrijfwijze.aanspreekvorm,adressering.aanschrijfwijze.aanspreekvorm
aanschrijfwijze.aanspreekvorm,adressering.aanschrijfwijze.aanspreekvorm
aanspreekvorm,adressering.aanschrijfwijze.aanspreekvorm
adressering.aanschrijfwijze.naam,adressering.aanschrijfwijze.naam
aanschrijfwijze.naam,adressering.aanschrijfwijze.naam
adressering.gebruikInLopendeTekst,adressering.gebruikInLopendeTekst
gebruikInLopendeTekst,adressering.gebruikInLopendeTekst
adressering.inOnderzoek,adressering.inOnderzoek
adressering.inOnderzoek.datumIngangOnderzoek,adressering.inOnderzoek.datumIngangOnderzoek
adressering.inOnderzoek.datumIngangOnderzoek.langFormaat,adressering.inOnderzoek.datumIngangOnderzoek.langFormaat
adressering.inOnderzoek.datumIngangOnderzoek.type,adressering.inOnderzoek.datumIngangOnderzoek.type
adressering.inOnderzoek.datumIngangOnderzoek.datum,adressering.inOnderzoek.datumIngangOnderzoek.datum
adressering.inOnderzoek.datumIngangOnderzoek.onbekend,adressering.inOnderzoek.datumIngangOnderzoek.onbekend
adressering.inOnderzoek.datumIngangOnderzoek.jaar,adressering.inOnderzoek.datumIngangOnderzoek.jaar
adressering.inOnderzoek.datumIngangOnderzoek.maand,adressering.inOnderzoek.datumIngangOnderzoek.maand
adressering.inOnderzoek.aanhef,adressering.inOnderzoek.aanhef
inOnderzoek.aanhef,adressering.inOnderzoek.aanhef
adressering.inOnderzoek.aanschrijfwijze,adressering.inOnderzoek.aanschrijfwijze
