code;omschrijving;96.30 Soort;99.98 Datum ingang;99.99 Datum einde
000;Onbekend;;;
001;Wet op het Nederlanderschap 1892, art. 1, onder a;VK;18930701;19850101
002;Wet op het Nederlanderschap 1892, art. 1, onder b;VK;18930701;19850101
003;Wet op het Nederlanderschap 1892, art. 1, onder c;VK;18930701;19850101
004;Wet op het Nederlanderschap 1892, art. 1, onder d;VK;18930701;19850101
005;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1962, art. 1bis;VK;19561101;19850101
006;Wet op het Nederlanderschap 1892, art. 2, onder a;VK;18930701;19850101
007;Wet op het Nederlanderschap 1892, art. 2, onder b;VK;18930701;19850101
008;Wet op het Nederlanderschap 1892, art. 2, onder c;VK;18930701;19850101
009;Wet op het Nederlanderschap 1892, art. 3;VK;18930701;19850101
010;Wet op het Nederlanderschap 1892, art. 4;VK;18930701;19850101
011;Wet op het Nederlanderschap 1892, art. 5;VK;18930701;19640301
012;Wet op het Nederlanderschap 1892, art. 6;VK;18930701;19850101
013;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1963, art. 8;VK;19640301;19850101
014;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1963, art. 8b;VK;19640301;19850101
015;Wet op het Nederlanderschap 1892 i.v.m. wijziging 1963, art. 9;VK;19640301;19770315
016;Wet op het Nederlanderschap 1892, art. 10;VK;18930701;19850101
017;Rijkswet op het Nederlanderschap 1984, art. 3, lid 1;VK;19850101;
018;Rijkswet op het Nederlanderschap 1984, art. 3, lid 2;VK;19850101;
019;Rijkswet op het Nederlanderschap 1984, art. 3, lid 3;VK;19850101;20030401
020;Rijkswet op het Nederlanderschap 1984, art. 4, lid 1;VK;19850101;20030401
021;Rijkswet op het Nederlanderschap 1984, art. 4, lid 2;VK;19850101;20030401
022;Rijkswet op het Nederlanderschap 1984, art. 4, lid 3;VK;19850101;20030401
023;Rijkswet op het Nederlanderschap 1984, art. 5, lid 1;VK;19850101;20040101
024;Rijkswet op het Nederlanderschap 1984, art. 5, lid 2;VK;19850101;19981001
025;Rijkswet op het Nederlanderschap 1984, art. 6, lid 1, onder a;VK;19850101;20030401
026;Rijkswet op het Nederlanderschap 1984, art. 6, lid 1, onder b;VK;19850101;20030401
027;Rijkswet op het Nederlanderschap 1984, art. 7;VK;19850101;
028;Rijkswet op het Nederlanderschap 1984, art. 10;VK;19850101;
029;Rijkswet op het Nederlanderschap 1984, art. 27, lid 2;VK;19850101;19880101
030;Rijkswet op het Nederlanderschap 1984, art. 11;VK;19850101;20030401
031;Toescheidingsovereenkomst Nederland - Suriname, art. 6, lid 1;VK;19751125;19931125
032;Toescheidingsovereenkomst Nederland - Suriname, art. 6, lid 2;VK;19751125;19931125
033;Toescheidingsovereenkomst Nederland - Suriname, art. 6, lid 4;VK;19751125;19981125
034;Toescheidingsovereenkomst Nederland-Suriname, art. 2, lid 1, jo. art. 5, lid 2;VL;19751125;
035;Toescheidingsovereenkomst Nederland-Suriname, art. 2, lid 1, jo. art. 6, lid 1;VL;19751125;19931125
